Dra.NORTHERN_DRAVIDIAN.MALTO,henu,rasadu,oCuldi,daibuku,bar3a,ke3anake3idah,kuCCo,hona,darti,andu,CiCadu,mindu,nindpa,tetu,mena-menpo,margadu,muka,hata,Cedro,,bedopahadi,nami,puna,rati-maa,muso,ond,paodu,malah,tundpo,Cana,binka,guga,suryan,tadta,paldu,,panda-maksa-jodsa,hamdu,namu,nin-ninu
Dra.SOUTHERN_DRAVIDIAN.BADAGA,nanu,netaru-rata,ilu-elu,bosi-madi,aivu-agu,sae,nayi-ne,ulu-kudi,kivi,kan-kannu,kiCu,minu,tumbi-nere,kai,ke,kombu,kalumuti-monaNalu,ele-patara,iralu-kodalu,henu-kure,betu-male,esaru-peru,osa-hosa,iru-katale,muku,ondu,oni-tada,alu-kara,kanu-nodu,Cakala-taluri,minu,kalu-kalan,otu-hotu,nalaNe-navu,alu-halu,mora,eradu,jala-taniru,eNa-naNa,niNava-nina
Dra.SOUTHERN_DRAVIDIAN.BADGA,na,ratt3-netturu,il3,mar3,pappa,sawad3,ne,kudap3,kiwi,kann3,kiCC3,min3,tumbe,kay,kep3,komb3,mutti,el3,,ili-kili,male,esar3,ost3,ir3,muk3,ond3,tari,kand3,nod3,tol3,naCCatra-pandmin3,kall3,ott3,nalange,hall3,mora,erad3,nir3,nanga,ni
Dra.SOUTHERN_DRAVIDIAN.BETTA_KURUMBA_2,naw3,n3tt3r3,yal3w3,kuyndigi,bar-ban-bu,mardog,nay3,kudi-kuyri,kiwiya,kannu,tiss3-tiCCa,minu,full3,kiya,k3L,kombb3,manngal3,yali,t3dl3,pyanu,b3tt3,pyar3,p3yym3n,3dl3,mukk3,wand3,batti,aL3-aLu,nod-nayr,tol3,minu,kall3,pott3,nelgi,pall3,meri,3ddu,nir3,nang3-yang3,niy3
Dra.SOUTHERN_DRAVIDIAN.KANNADA,nanu,rakta-nettaru,elubu-ilu,ede-bosi,baru-aivu,Cayu-sae,nayi-ne,kudi-ulu,kivi,kannu,benki-kiCCu,matsya-minu,tumba-nere,kai,kelu-ke,kombu,monakalu,ele-patara,hiri-iralu,henu-hu,betta-male,hesaru-peru,hosa-osa,ratri-iru,mugu,ondu,marga-oni,manusya-alu,nodu-kanu,togalu-Cakkala,naksatra-minu,kallu-kindikal,surya-ottu,nalige-navu,hallu-allu,mara-mora,eradu,niru-gangi,navu-enga,ninu-ninga
Dra.SOUTHERN_DRAVIDIAN.KANNADA_2,nanu,rakta,yelubu-muLe,ede-stana,baru-ba,sayi,nayi,kudi-kudiyodu,kiwi,kann3,benki,min3-matsia,tumbidu,kay,keLu,kombu,munakalo-mandi,yele,hiri-medajirika,henu,betta,hesaru,hosadu,ratri,mug3,ondu,marga-raste,manusa,nodu,togalu-Carma,nakSatr,kallu,surya,nalige,hallu,mara,yeradu,niru,nawu,ninu
Dra.SOUTHERN_DRAVIDIAN.KANNADA_3,nanu,r3kta,muLe,st3na,b3ru,mr3t3p3du,nayi,kudi,kiwi,k3nnu,bENki,minu,tuNbida,k3i,keLu,koNbu,m3Ndi,yEle,y3kr3ttu,henu,m3le-p3rw3ta,hEs3ru,hosa,ratri,mugu,woNdu,dari,puruSa,kanu,C3rma,Cukki,k3llu,surya,nalige,h3llu,m3ra,yEr3du,niru,nawu,ninu
Dra.SOUTHERN_DRAVIDIAN.KODAVA,nan3,Cor3,muLe,mele,ba,CLa,nayi,kudipa,kemi,kann3,titta,min3,dumba,kay,keL3,komb3,mandi,elakanda,tombe,pen3,kund3,peda,pudiya,bayit3,mukk3,ond3,bate-raste,manasa,not3,tol3,nakSatra,kall3,surya,nawu,pall3,mara,dand3,nir3,nanga,nin3
Dra.SOUTHERN_DRAVIDIAN.KORAGA_KORRA,yan3,neter3-reg3ta,elu,turE,ba,,kongu,par3,kebi,kan3,tu,,nelkE-tumba,kayi,,,,Capu-irE,Canka,,parwata,padar3,poCat3,irl3,,o5ji,taji,,Cu,toru,darayi,kal3,Curye,nalayi,kuli,,rad3,,nak3l3,iji
Dra.SOUTHERN_DRAVIDIAN.KOTA_INDIA,an,neturu,yeluw3,mel,,taw3,nayi,unatuk3,kew3,kann3,nippu,min3,,kaiy,kel3,,mogal,elu,iru,paiyi,wetume,per,pudiyad3,elumaram,muk3,odit,tari,,not3,tolu,nakSatiram,kal,suriyan,nalg3,pal,maram,edu,nir,amme,niya
Dra.SOUTHERN_DRAVIDIAN.MALAYALAM,5an,raktam,elu,maru,varu,mari,nayu,kuti,katu,kanu,ti,matsyam,nira5a,kai,keL,kompu,muLaNkal,ila,iral,penu,mala,peru,putu,ratri,muku,onu,vaLi,manuSyan,kanu,tolu,nakSatram,kalu,suryan,naku,palu,maram,rantu,veLam,naNaL,ni
Dra.SOUTHERN_DRAVIDIAN.MALAYALAM_2,5an,rektam-Cora,ell3-asti,mau-mula-stanam,waruga,marikkuga,naya-patti,kuti-kudikkuga,Cewi-katu,kann3-netram,te-agni,min-malsyam,nira5a,kay,kelkuga,komp3,muakal-mutt3,ila,iral-karaL3,pen,mala-parwatam,per3,pudiya,ratri,muk3,onn3,waLi,manuSan,kanuka,toli-Cermam,nakSatram,kall3,weda,nak3,pall3,maram-vrukSam,rend3,wellam-yalam,nam-nammal,ni
Dra.SOUTHERN_DRAVIDIAN.MALAYALAM_3,5an,ryaktam,asthi,stanam,waryuga,maryikkyuga,nay3,kudikkyuga,Cewi,kann3,ti,matsyam,niraye,kai,keLkkuga,mrygattintekomb3,kalmutt3,ila,karyaL,pen3,parywwadham,pery3,pudhiya,ryatryi,mukk3,onn3,waLi,manuSyary,kanuga,Carymmam,nakSatryam,Sila-kall3,suryryan,nakk3,pall3,maryam,ryand3,weLLam,nammaL,niNNaL
Dra.SOUTHERN_DRAVIDIAN.MUTHUVAN,nanu,elattom-Cora,elumpu,palkampu,veru-va,Cav,nay,kuti,katu,kannu,ti,kerku-min,,keyyi,kel,kompu,,ila,,,mala,,putu,ravu,,onnu,veyyi,alu-maniCan,paru-kan,,antivelli,kellu,,nakku,pellu,mara,rentu,tanni,nammal,ni
Dra.SOUTHERN_DRAVIDIAN.RAVULA,nanu,Core,elu-mule,mule,ba,Tayu,nayu,kuti,Tevi,Tovdu,ti,,,,,,mutu,ile-ole,,penu,,peru,,iravu,mugu,onju,,ale,kan,tolu,boli,kalu,nera,navu,palu,mara,irandu,niru,namu,niyu
Dra.SOUTHERN_DRAVIDIAN.TAMIL,nan,rattam,elumpu,marpu,varu,Ca,nay,kuti,katu,kan,neruppu,min,nirainta,kai,kel,kompu,mulankal,ilai,iral,pen,malai,peyar,putu,iravu,mukku,onru,vali,manitan,kan,tol,min,kal,Curiyan,nakku,pal,maram,irantu,tannir,nankal,ni
Dra.SOUTHERN_DRAVIDIAN.TAMIL_2,nan,rattam,elumb3,marb3-mar3,wa,Ca-satt3po,nayi,kudi,kad3,kann3,neruppu-te,min3,niainta-muLu,kay,keL3,komb3,muakal-mutti-mut3,ele,iraL,pen3,malai,per3,pudus3-pudu,iraw3-raw3-ratri,muk3,onn3,vai,maita-manuSan,kan-par3,tol3,mi-naCCatiram,kall3,suryan,nakk3,pall3,maram,rend3,tanni-nir3,nam-nanga,ni
Dra.SOUTHERN_DRAVIDIAN.TAMIL_3,non,irottom,elumobu,morpohom,wo,moronomodoi,noy,kudi,kotu,kon,ti,min,nirombiyo,koi,keL,kombu,muLoNgol,iloi,kollirol,pen,moloi,peyor,pu8iyo,irowu,mukku,onru,nodoiwoLi,moni8orkoL,por,Corumom,notCottirom,kol,Curiyon,nokku,pol,morom,irontu,nir,nom-noNgoL,ni
Dra.SOUTHERN_DRAVIDIAN.TODA,on,pox,eLf,,por,soy,noy,kudt-un,kify,,tit,min,,koy,keL,,migmu,es,uruf,pEn,tit,,pu8un,iL,mutuf,wid,pak,oL,ko4,twis,min,kas,pis,nof,pas,kEme5-me4,ed,nir,em,
Dra.SOUTHERN_DRAVIDIAN.TODA_2,on,pok3,elf,nijikudi,parti,keduoisi,noi,uttudi,kili,kan,titt3,min,sokkaiye,koi,kel,kur,mutti,ers,kudal,irs,titt3,per,pudun,ekkad3,mittup,utt3,alar,kinnud3,nut,turs,natCatiram,kars,suriyan,nof,parse,men,ed3,nir,om,ni
Dra.SOUTHERN_DRAVIDIAN.TULU_INDIA,en3,neter3,asthi-elu,mirE,,say-swasawoyp,nayi,,,kan3,tu-su,min3-eti,,kayi,,,molapugant3,patrE,,pen3,parwata,pada,,ratri,muNku,o5ji,marga-rastE-tadi,manse-manusye-jana,su-hu-tu,Tarma,naksatra,kal3,poltu-portu-potu,bhasE-nalagE,,mara,eradi,nir3,nama-eNkulu,i
Dra.SOUTHERN_DRAVIDIAN.TULU_INDIA_2,yanu,nettar3,ell3,tigala,barara,sayyara,nayi,pariyara,kebi,kannu,tuwu,min3,dinjidundu,kai,kenara,kombu,menakal3gantu,ira,,pen,dari,pudar3,posatta,ratre,mugu,onji,parvata,manuSe,tuwara,Cerma,nakSatre,kallu,surye,nalayi,kuli,mara,raddu,nir3,yankulu,i
Dra.SOUTHERN_DRAVIDIAN.YERUKULA,na,regom,emiga,rommuga,va,savu,nayi,kudi,soy,kannu,aggi-neruppu,minu,sanak-metta,ki,kerla-keru,kommuga,,ela-ole,padi,,,per,pudu,naveru-navari,muku,undu,tari,alTi-peru,paru,,sukya,,pogudu,naliga,pellu,marom,rendu,tanni,nanga,ni
Dra.SOUTHERN_DRAVIDIAN.YERUVA,nan,Core,muLe,mele,ba,CaLa,nayi,kudip3,kemi,kann3,ti,min3,dumba,kay,keLu,komb3,mulekal3,ele,tombe,pen3,kund3,peru,pudiyai,andi,mukk3,onju,raste,manuCe,noku,tolu,naCCatira,kallu,Curya,nawu,pallu,mara,irand3,niru,nanga,ni
Dra.SOUTH_CENTRAL_DRAVIDIAN.ABUJHMARIA,nan-nanna-nana,nettur-netur,,bommo-dudo,way-wa,dol-hayana,nai-nay,un,keu-kew-kev,kan,kis,min-kikke,,kay,kenTa,,gutkal,ak-aki,tandki,ir,matta,pader,puna,narka,mosor,wondi-ondi-ond,dauha-dawha-har,mane,hur,tol,uka-huka,kal-k3l,podd,,pal-p3l,mara,rend-rendu,er,mat,nimma-nima-nim
Dra.SOUTH_CENTRAL_DRAVIDIAN.ADILABAD_GONDI,nanna,nettur,bokka,,wa-way,sa-say,ney,unn-un,kew-kewwi,kar-kan,kis,min,mend,kay,kenj,kor,,aki,taraki,,metta,porol-phorol,puna,narka,mosor-mossor,undi,sarri,,sur,tol,sukkum,,pord,wenjer,pal,,rand,er-yer,mamat,nima
Dra.SOUTH_CENTRAL_DRAVIDIAN.DORLI_GONDI,nan,nettur,bodeNke,,wa-way,doll,ney-neyyi-nay,unn-un,kew-kewwi,kanuku,kis,kike,mend,kay-kayyu,kenj,kor-koru,,aki,tanki,,metta,peder,,narka,massor,ondu,arri,,ud,tol-tokka,ukka,,podd,wenjer,pal,,rendu,eru,,
Dra.SOUTH_CENTRAL_DRAVIDIAN.GONDI,nanna,nettur,bokka,dudo,wa,ha,ney,un,kewu,k3d3,tadmi,min,nind,kay,kenj,kor,tongra,aki,tarki,porki,metta,porol,puna,narkad,mosor,ondi,harri,lokur,huda,tol,sukku,banda,por3,wenjer,pal,mara,rendu,yer,mammot,nimme
Dra.SOUTH_CENTRAL_DRAVIDIAN.HILL_MARIA_GONDI,nana,netor,pendka,,wa-way,a-ay,nay-nayu,unn-un,kewi,konda,kis,kike,mend,kayu,kenj,kor,,aki-ak,tanki-tandki,,mata,pader,puna,narka-naka,masori,ond,ari,,ur,tol,huko,,pord,wenjeri-wenjer,pal,,rendu,er,mat,nima
Dra.SOUTH_CENTRAL_DRAVIDIAN.KOYA_INDIA,nanna,nettur,bula-bulk,eddam,wa-wadadam,dollatam,ney,unnu,kew-kewk,kond,kis-neggad,kike,ninda,kay,keja,komm-kokku,mokal-botminda,aki,kajam,poriki,gubal-metta,peder,kottad,mulipe,mossor,orrot,arri,mansund,uda,tol,ukka,ray,podut3,nalike,palk,mara,rend,eru,manadu-mamma,nimma
Dra.SOUTH_CENTRAL_DRAVIDIAN.KUVI,nanu,neteri-netori,dumu-dumka-prenu,rangu,kin-kni-ken,ha-dak,nehruri-neska,un-goh,kriyu,kanu,,mninu,,keyu,,komu,menda,aku-aka,tra7na,penu,,doru,,nekeri,mungeli,eka,jiyu-jiru-revu,mansi-loku,meh,tolu,huka,kalu-vali,gama,,pala-palka,marnu-mranu,duyi-rindi,,mambu-maro,ninu
Dra.SOUTH_CENTRAL_DRAVIDIAN.MANDA_INDIA,an-ane,neter,pren,dudu-may,va,ha-hiris,kusri,un,gitul,kan-kane,iske-hicu,min,nes-bortia,kay-ki,ven,kumu,menda,aki,tnake-lake,pen,tikra-pahad-mari,dar,krug-pun,nana-nanaN-nala-rati,muNgel,ru-ro,parla-pene,zan,diha-hur,pele,huker,kal-pade-padekal,vera,vendul,pal,mar,duy-ri-rindi,,am,in-ine
Dra.SOUTH_CENTRAL_DRAVIDIAN.NORTHERN_GONDI,nanna,nattur,paneka,,wa-way,sa-say,nay-nayyi,unn-un,kaw-kawwi,kan,kis,min,mend,kay-kayyi,kenj,kor-kur,,aki,tanaki,,matta,purul-porol,punal,narka,massor,udi-undi,sarri,,hur,tol-tula,sukkum,,,wanjer,pal,,rand,ir-yar-ar-er,mamat,ima
Dra.SOUTH_CENTRAL_DRAVIDIAN.NORTH_BASTAR_GONDI,nana,nature-netur,pareka-pare,,wa-way,ha-hay,nay-neyi,unn-un,kawi-kew,konda,kis,min,mend,kay,kenj,kor,,aki-ak,taraki,,mata-mita,poroy,puna,narka,masor,uri,hari,,hur,tola-tula,huko,,pord,wanjer-wenjer,pal,,rend,er,mamat,nima
Dra.SOUTH_CENTRAL_DRAVIDIAN.PENGO,aneN,neter,pren,,va-vat-vazi,ha-hat-hadeN,nekur,un-ut,kitul,,,min,,key,,kom-komo,,patri-potor,trakiN,pen,parbat-mari,tor,pun,nana-rati,muNgel,,,manay,katni,tol,jilmiliN,kal,vera,vendul,tada,mar,ri-rindaN,ez,epeN-aheN,eneN
Dra.SOUTH_CENTRAL_DRAVIDIAN.SOUTHERN_GONDI,nana,netur,boka,dudo,va-ra,sa,ney,un,kevi,gube-kar,kis,min,nind,key,ke5j,kor,toNgra,aki,taraki,purki,meta,porol,punor-puna,,mosor,undi-varor,sari,manal,sud,,sukum,banda,pord,ve5jer,pal,mara,rand,yer,momot,nime
Dra.SOUTH_CENTRAL_DRAVIDIAN.SOUTHERN_GONDI_2,nana,nettur,,,wa-way,ha-hay,nayu,unn-un,kew-kewwu,kar,kis,min,mend,kay,kenj,kor,,aki,tadaki,,metta,porol,puna-punor,narka,mossor,undi,harri-arri,,hud,tol,hukkum,,podd,wenjer,pal,,randu,er,mamat,nima
Dra.SOUTH_CENTRAL_DRAVIDIAN.SOUTH_BASTAR_GONDI,nan-na,nettur,bula,,wa-way,doll,ney-neyyi-nay,unn-un,kew,konda,kis,kike,mend,kay,kenj,kor,,aki-ak,tarki-tark,,metta,peder-pedder,puna-punor,narka,massor,ond-ondu,arn,,hur-ur,tol-tolka,ukka,,pord,wenjer-wanjer,pal,,rand-rend,er,mama,nima
Dra.SOUTH_CENTRAL_DRAVIDIAN.SOUTH_EASTERN_GONDI,nanna-nana,netturu,bula,,wa,doll,ney-nay,unn-un,kewwu,kandu,kissu,kike,mend,kay,kenj,koru,,aki,tanike,,metta,pederi,,narka,mossori,ondu,arri,,ud,tol,ukka,,podudu,wenjer-wanjer,pal-pallu,,rendu,eru,mama,nima
Dra.SOUTH_CENTRAL_DRAVIDIAN.TELUGU,nenu,raktamu,emuku,gunde,vaCCu,CaCCu,kukka,tragu,Cevi,kannu,nippu,Cepa,nindina,Ceyi,vinu,kommu,mokalu,aku,kalemanu,penu,konda,peru,kotta,ratri,mukku,okati,margamu,manusudu,CuCu,tolu,Cukka,rayi,suryudu,naluka,pallu,Cettu,rendu,nillu,memu,nivu
Dra.SOUTH_CENTRAL_DRAVIDIAN.TELUGU_2,nenu,netturu,emuka-dummu,Cannu,vaCCu,Cavu-CaCCu,kukka,tagu,Cevi,kannu,nippu-manta,Cepa,nindu-nindina,Ceyi,vinu,kommu,munuku,aku,kariyam-kaleyam,penu-ipi-iru,konda,peru,kotta,ratri,mukku,okati,tova,maniSi,Cudu-CuCu,tata-Carmam,Cukka,rayi-banda,suryudu,naluka-nalika,pannu,Cettu,rendu,niru-niLu,manamu-memu,nuvvu-nivu
Dra.SOUTH_CENTRAL_DRAVIDIAN.TELUGU_3,nenu,raktamu-netturu,yemuka-bokka,gunde-stanamu,waCCu-ra,CaCCipowu,kukka,tagu,Cewi,kannu,nippu-manta-aggi,Cepa,nindu,Ceyyi,winu,kommu,mokalu,aku,kaleyamu,penu,konda-parwatamu,peru,kotta,ratri,mukku,okati,margamu-dari-bata,maniSi,Cudu,tolu-Carmamu,nakSatramu-Cukka,rayi,suryudu-poddu,naluka,pannu,Cettu,rendu,niru-niLLu,manamu-memu,niwu-nuwwu
Dra.SOUTH_CENTRAL_DRAVIDIAN.TELUGU_4,nenu,roktomu,emuko,stonomu,wotCu,moroniCu,kukko,tragu,Cewi,konnu,ogni,Cepo,nidu,Ceyi,winu,kommu,mokalu,aku,kaleyomu,penu,porwotomu,peru,krotto,rotri,mukku,okoti,kalitrowo,norudu,CuCu,Cormomu,nokSotromu,rayi,suryudu,naluko,pollu,Cettu,redu,niru,monomu,niwu
Dra.SOUTH_CENTRAL_DRAVIDIAN.WESTERN_GONDI,ana-anna,nattur,paneka,,wa-way,sa-say,nay-nayyi,unn-un,kaw-kawwi,kan,kis,min,mend,kay-kayyi,kenj,kor,,aki,tanaki,,matta,parol-pharol,punal-puno,narka,massor,undi-indi,sarri,,hur,tol,sukkum,,,wanjer,pal,,rand,er,amat,ima
Dra.SOUTH_CENTRAL_DRAVIDIAN.WESTERN_MURIA,nanna,nattur,perreka,dudo,vaya,haya,neyy,unda,kavv,konda,kiss,min,,keyy,,kor,minda,ak,tarrak,park,,porroy,,nakka,massor,undi,ar,maney,,tola,ukko,,pord,,pall,marrak,randu,er,mammat,nima
EA.ALEUT.ALEUT,tiN,amax,qaxna,kaCi,haqa,asXa,ayku,taNa,tutusi,8a,qixma,qa,CXa,Ca,tuta,,Ci8ixi,huli,aXi,kitu,lkiXusi,asa,taxa8a,amax,anXusin,ataqan,akalu,anXaXi8a,uku,qaCXi,s8a,nu,aXa8a,axna-umsu,kixusi,yaxa,alax,taNa,tuman,txin
EA.ALEUT.ALEUT_2,tiN,EmEx,qognoX,moqdoX,hoqolix,mEsoqodElix,sEbEkoX,tENalix,titiseX,doX,qegnoX,qoX,CXolix,CoX,titElix,,CidigeX,seXleX,oXeX,kitoX,keXiseX,asExX,tEgadoX,amEx,aNusin,atoqon,akaloX,aNoXelix,ukulix,qoCX,sdoX,noX,oXodoX,agnoX,agaloX,SagoX,ElEx,tENoX,tiNin,txin
EA.ESKIMO.CENTRAL_SIBERIAN_YUPIK,xuaNga,auk,,,tagiquq,tuqaquq,qikmiq,m3xaquq,,iya,k3n3q,iqatLyuk,,ixa,nagaquxnaxaqa-nagaquxnaxaquq,sixun3q,,,t3Nguq,,nayxaq,at3q,nutaxaq,unuk,q3Ngaq,atasiq,,yuk,3sXaiaqa-3sXataquq,,ixal3q3taq,uyxak,siqin3q,ulyu,xuta,uqfiXaq-unaXsiXaq,malxuk,,xuaNgkuta,3tLp3k
EA.ESKIMO.C_YUPIK,xwi,auk,3n3q,3vzaik,taixuq,tuqquq,qimuxta,3m3XXa,ciun,ii,k3n3q,n3qa,,aixaq,nita,,cisquq,cuyaq,t3Nuk,n3X3sta,iNXiq,at3q,nutaXaq,unuk,q3Naq,attauciq,tumyaXaq,yuk,taNXa,amiq,axyaq,cimaq,ak3Xta,uluq,k3xun,uqfiaq,,3m3q,,3Lp3t
EA.ESKIMO.EAST_GREENLANDIC,uaNa,aak,kikkaq,mittivaq,akkiq-qaa,piiNiC-tuqu,qimmiq,imiq,siit-tusaat,uissat,igivattatteq,aatisaNaq,utukkaaq,assak-awat,naataqni-naataC-tusaa-tusaqnaaq,natteq,aipiqtiNaq,mutiqut,ituqut,uyaNaq,qaqqaqtiwaq,atiq-taaNiit-assiaq,nutaaq,unnuaq,qiNaq,ataasiq,aqqulaq-aqqut,tikkak,taki,utiiwik,ammatiwassiaq,nunakkassiaq,siqiiq,atuttuut,niqqit,uqpik,maqtit,imiq,uaNit,ittit
EA.ESKIMO.INUKTITUT_EASTERN_CANADIAN,uvaNa,auk,nataquaq-sauniq,iviaNiq-amamak,qaiyuq,aniGnaNiqsivuq,qimiq,,siut-hiun,iyi,ikuma-iNniq,iqaluk,tatatuq,agak,,natyuk,siquq,akiGuaGuq-uqauyaq,tiNuk,kumak,kiNaq,atiq,,unuaq,qiNaq,atausiq,aGquti,inuk,,amiq,uLuGiaq,uyaGaq,siqiniq,uqaq,kigut,napaqtuq,maGuk,imaq,uvagut,ivit
EA.ESKIMO.INUPIAQ,ubaNa,auk,sauniq,miluk,qai-axiq,tuqu,qimiq,imiq,siun,iri,igniq-ikniq,qaluk,imaqaq-imiq,arxaiC,tusa-tuSa,nagruk,sitquq-naplu,akutuq,tiNuk,kumak,iXiq-i5Xiq,,nutau-Ciaq,unuaq,imilXuq-umilXuq,atausiq-atauSiq,,i5uk,tautuk,amiq-ubi5iq,ubluXiaq,iyaXak-uyaXak,siqi5iq,uqaq,kixun,napaqtuq,malXuk,imiq,ubaxut,ilbiC
EA.ESKIMO.KALAALLISUT,uaNa,ak,sanikut,iviaNEq,qa-piva,toquvoq,qimmEq,imEXpoq,siut,isi,innEq,alisaxaq,ulikkaXpoq,assak,tusaXpa,nassuk,sEqqoq,pilutaq,ciNuk,kumak,qaqqaq,atEq,nutavoq,unnuaq,,atasEq,aqqut,inuk-silamiu,isixa,mattak,uLLoXiaq,uyaXak,sEqinEq,oqaq,kixut,oXpik,maXluk,imEq,uaxut,iLLit
EA.ESKIMO.KANGIRYUARMIUTUN,uvaNa,auk,hauniq,iviaNiq,qai,tuqu,qinmiq,imiq,hiun,iyi,iNniq,iqaluk,tatat,algak,tuhaq,,hitquq,atuNauyaq,tiNuk,kumak,iGiq,atiq,nutaq,unuaq,qiNaq,atauhiq,apquhiniq,inuk,taku,amiq-uvinik,ubluriaq,uyaraq,hiqiniq,uqaq,kigun,napaqtuq,malGuk,imaq,uvagut,ilvit
EA.ESKIMO.NORTHWEST_ALASKA_INUPIATUN,uvaNa,auk,sauniq,miluk,aggiq-qagain,ayu-nutqaq-piq-tuqu,qipmiq,imiq,siun,iri,igniq-ikniq,aqaluk-iqaluk,iluturuaq-imaukkaq,argaich-argak,tusra,nagruk,sitquq,akutuqpalik-milukataq,tiNuk,kumak,iggiq-ingiq,atigusiq-atiq,natau,unnuaq,qiNaq,atausiq,apqun-tumiksraq,i5uk,qi5iq-tauktuk,uvi5iq,uvlugiaq,iyagak-uyagak,siqi5iq,uqaq,kigun,napaaqtuayaaq,malguk,imiq-imigisaaq,uvaguk,iliviC
EA.ESKIMO.PROTO_ESKIMOAN,uvaNa,a8ux-kanux,Caun3q,3vyaNir,axxir-ax3xir,tuqu,qikmir,3m3r,Cixun,383,,,Cil3x,a8xaka8oxox,naxa-tuCar,,Cix38qur,p3Lu,t3Nux,kumax,iNrir,aCCir,nutarar,unnux,q3Nar,ataruCir,,,taN3r,amir,,uyarax,maCar,,k3xun,napaqtur,malrux,3m3r,uvakut,3lp3t-3lv3t
EA.ESKIMO.ST_LAWRENCE_YUPIK,,akw,n3qwaq,mamaq-qat3k,taxi,aviXut3-tuqu,qikmiq,m3q,sixun,iya,k3n3q,iqaLuk-kayu,3sl3q3,ixa,naxaquX-tusaq3,,s3x3squq,ququNaq,t3Nuk,kumak,naXaq,at3q,nutaXaq,unuk,q3Naq,atasiq,tuma,taXu-yuk,3sXaX,amiq-uvin3k,iXal3q3taq,qalm3saq-uXak,siqin3q,ulu,xuta,uqfik,malXuk,m3q,whaN,3lp3k
EA.ESKIMO.WEST_GREENLANDIC,uaNa,ak,saniq,iviaNiq-sakissat,axxir-urnix,tuqu,qimmiq,imir,siut,isi,inniq,alisaxaq,ulikar,assak,tusa,nassuk,siqquq,pilutaq,tiNuk,kumak,qaqqaq,atiq,nutaq,unnuaq,qiNa,atasiq,aqqusiaq,inuk,taku,amiq,ulluriaq,uTarak,siqiniq,uqaq,kixut,urpik,marluk,imiq-taraTuq,uaxut,illit
EA.ESKIMO.YUPIK_CENTRAL_SIBERIAN_CHAPLINO,xwaNa,awk,neqwaq,saya,taxiquq,tuqaquq,qikmiq,m3raquq,sixun,iya,k3n3q,iqaLuk,3sL3qNalri,taLiq,naxataqa,sirun3q,kanaq,,t3Nuq,,nayraq,at3q,nutaraq,unuk,q3Naq,atasiq,tuma,yuk,sXataquq,k3m3kSak,iral3q3taq,uyrak,siqin3q,ulu,xuta,uqfixaq,malruk,,xwaNkuta,aLp3k
EA.ESKIMO.YUPIK_SIRENIK,m3Na,aT3x-atix,nin3X,TaTa,,,q3p3n3X,m3X,six3ta,3Ta,an3X,3qal3x,quw3nt3valaX,yaq3X,,sir3n3X,six3sq3X,,t3N3x,kum3X,iNr3X,,nut3r3T3X,unux,q3N3X,at3r3s3X,tuma,yux,,iq3Xt3X,nurasariy,kis3X,uqirn3X,ula,k3x3ta,,malrux,m3X,m3k3ta,3lpi
EB.EAST_BOUGAINVILLE.BUIN,ne-nne,inna-irira,kana,nutu-nu-nuau,u,pua-pu,maikuna-maimai-makirou-mairou,roi-rai,nume,noine,oguai,iana-topi-ukiuki,magu,aku,ruge,,mi-mikui-utoutoia,oto-ota,nunno,oti,menu,miN,riro-niupara,muro-mura-tutaka,keN,noi-non-no,ape-maimoi-rugo-rugoropo-monare,roi,N-u,katu-kagua-kagu-ko-koino-uririna,kaipa,aru-antiru-makatiru,rua-perepana,mere,kompe,kui,ke-keu-ki-tu-tupara,tu,re,ro
EB.EAST_BOUGAINVILLE.MOTUNA,,irih,kona,nuno,huka,pu-mu,mahkata,ne-nE,duN-ruN,marE-uto,iha-kunakuna,iyanna,mapu,aka-aNu,onoruhe-taro7ohe,,mi,hono-pEtu-patu,,hoh,kinum-mita-tuwa,mi-dina-taN,dirokisa-rirokisa,motumo-muNo7,kiN,no7,monarE-toru,,mono-monowarei-siNoro,kaN,kiwa-kEwa-pinu,kupuri,da,mini,kEvi,kuna-kui,,mikisa-tu,ne,
EB.EAST_BOUGAINVILLE.NASIOI,nin,eden,ko7,bu7,mo,o,moti7,nai,dome7,duta,nta7,tabi7,manto7,tanka7,tada,kaintan,min,ba7-pada7,,panti7,mi,midin,nedaka,mun,nuan,na,taun,nanin,o,dopa7,bento7,kapan,dua7,,,,ke-kenanka,nton,ne7,da7-de7
EBH.EAST_BIRDS_HEAD.MEYAH,didif,oguwu,ofora,eNk,en,agos,mes,ej,osu,eitiej,mah,mos,etiti,etma,eg,obukum,okeibi,efeyi,odou,mej,mem-memaga,ofoka,efeinah,motu,osum,egens,semfag-moroju,osnok,eyajga,ofos,motur,mamu,mowa,arni,,mega,egeka,mei,memef,iwa
EBH.EAST_BIRDS_HEAD.SOUGB,dan,mogwihi,mohori,maric,en,omom,mihi,ek,ums,airesi,smougb,hosei,atij,mesira,ouman,mombbouNmog,mohorbeda,mehi,medocmei,mem-mougtmem,men-menmod,moho,menau,loba,mebes,hom,ucina,sud,eiya,us-mos,tebeic,igdahabi,igdalona,metemougb,,sogo,hwai,duhu-mohu,emen,yeni
